QUESTION,TYPE,DIFFICULT,MARK
Многочлен Тейлора. Формула Тейлора.,1,3,30
Локальна формула Тейлора. Многочлен найкращого наближення.,1,2,20
Розвинення в ряд Маклорена деяких елементарних функцій.,1,3,30
Умови монотонності функції. Необхідна  умова екстремуму.,1,
Достатні умови екстремуму.,1,3,30
Поняття опуклості. Точки перегину. Критерій опуклості.,1,2,20
Необхідні та достатні умови точок перегину.,1,3,30 
Основні прийоми інтегрування.,1,1,10
Інтегрування раціональних функцій методом елементарних відношень.,1,1,10 
Метод Остроградського інтегрування раціональних функцій.,1,1,10 
Інтегрування тригонометричних функцій.,1,2,20
Інтегрування ірраціональних функцій.,1,1,10 
Інтегрованість за Ріманом. Необхідна умова інтегрованості.,1,1,10 
Інтегральні суми Дарбу та їх властивості.,1,3,30 
Необхідна та достатня умова інтегрованості.,1,1,10 
Класи інтегрованих функцій.,1,3,30
Властивості інтеграла Рімана.,1,2,20 
Інтеграл як функція верхньої межі.,1,1,10 
Основна теорема інтегрального числення. Формула Ньютона-Лейбніца.,1,1,10 
Правила знаходження визначеного інтеграла.,1,1,10 
Формула Тейлора з інтегральним залишковим членом.,1,2,20 
Проста крива.,1,1,10 
Довжина дуги кривої.,1,1,10 
Міра Жордана плоскої фігури.,1,1,10 
Критерій жордановості фігури.,1,1,10 
Площа криволінійної трапеції.,1,2,20
Площа криволінійного сектора.,1,1,10 
Об’єм та площа поверхні тіла обертання.,1,1,10 
Жордановість плоскої фігури.,1,1,10 
Площа плоскої фігури.,1,2,20 
Площа простої фігури.,1,1,10 
Адитивність міри за Жорданом.,1,1,10 
Площа об’єднання; перетину та різниці.,1,2,20 
Визначення невласних інтегралів.,1,1,10 
Властивості невласних інтегралів.,1,1,10 
Критерій Коші збіжності невласних інтегралів.,1,3,30 
Збіжність невласних інтегралів від невід’ємної функції.,1,1,10 
Ознаки Абеля та Діріхле збіжності невласних інтегралів.,1,2,20 
Інтеграл у розумінні головного значення за Коші.,1,3,30 
Багатовимірний простір та класи його підмножин.,1,1,10 
Відкриті та замкнені множини і їх властивості.,1,1,10 
Замкнені множини. Критерій замкненості.,1,2,20
Властивості замкнених множин.,1,1,10 
Збіжність послідовностей в багатовимірному просторі.,1,1,10 
Границя функції багатьох змінних. Поняття повторної границі.,1,2,20 
Неперервність функції багатьох змінних (визначення; локальні та глобальні властивості; неперервність по одній змінній).,1,2,20 
Рівномірна неперервність функції багатьох змінних.,1,1,10
Диференційована функція багатьох змінних. Частинні похідні першого порядку.,1,3,30 
Достатні умови диференційованості функції багатьох змінних.,1,1,10 
Повний диференціал функції багатьох змінних.,1,1,10 
Диференціювання композиції відображень.,1,1,10 
Геометричний зміст частинних похідних та диференціала.,1,2,20 
Похідна за напрямком та градієнт.,1,1,10 
Частинні похідні та диференціали вищих порядків.,1,1,10 
Незалежність частинних похідних вищих порядків від порядку диференціювання.,1,3,30 
Формула Тейлора для функції багатьох змінних.,1,3,30 
Екстремум функції багатьох змінних. Необхідна умова.,1,1,10 
Екстремум функції багатьох змінних. Достатня умова.,1,3,30
Існування та диференційованість неявно заданої функції.,1,2,20 
Умовний екстремум функції багатьох змінних. Метод виключення частини змінних.,1,1,10 
Умовний екстремум функції багатьох змінних. Метод множників Лагранжа.,1,1,10 
Числові ряди. Основні поняття.,1,2,20
Необхідна умова збіжності числового ряду. Збіжність залишку ряду.,1,1,10 
Ряди з додатними елементами. Ознаки порівняння. ,1,1,10
Ряди з додатними елементами. Ознаки Даламбера та Коші.,1,3,30 
Ряди з додатними елементами. Ознака Коші-Маклорена та Раабе.,1,3,30 
Ознака Лейбніца збіжності знакоперемінного ряду.,1,2,20 
Перестановка членів абсолютно збіжного ряду.,1,1,10 
Перестановка членів умовно збіжного ряду.,1,2,20 
Тотожність та нерівність Абеля.,1,3,30 
Ознаки Абеля та Діріхле збіжності знакозмінних рядів.,1,1,10 
Дослідити взаємне розташування площин 3x-y+2z+1=0; 7x+2y+z=0 та 15x+8y-z-2=0.,2,2,20
Визначити чи лежать точки М1 (2; -1; 1) та М2 (1; 2; -3) в одному; суміжних чи вертикальних кутах які утворені площинами 3x-y+2z-3=0 та x-2y-z+4=0,2,1,10
Скласти параметричні рівняння спільного перпендикуляра до прямих x=3t-7; y=4-2t; z=3t+4 та x=t+1; y=2t-8; z=-2t-12.,2,2,20
Задано вершини піраміди A (0; 0; 2) B (3; 0; 5) C (1; 1; 0) D (4; 1; 2). Обчислити довжину висоти яку проведено з вершини D на грань АВС,2,1,10
Визначити чи належить площина 4x-18y+17z-8=0 до жмутка площин 5x-y+4z-1=0 та 2x+2y-3z+2=0,2,2,20
Дослідити взаємне розташування прямих x=9t+1 y=2+6t z=3+3t та x=7+6t y=4t+6 z=5+2t,2,3,30
Записати рівняння площини яка відсікає на вісях координат відрізки довжини яких пропрційні числам 1 2 3 та віддалена від точки С (3; 5; 7) на відстань 4,2,3,30
Знайти точку Е яка симетрична до точки С (2; -5; 7) відносно прямої яка проходить через точки М1 (5; 4; 6) та М2 (-2; -17; -8),2,2,20
Довести що для невиродженості оператора А необхідньо та достатньо аби в нього не було нульових власних значень,2,3,30
Збудувати многочлен мінімальної степені з дійсними коефіцієнтами який має прості корені 2 3 та 1+і а також корінь 1 кратності 2,2,1,10
Обчислити відстань від точки Р (2; 3; -1) до прямої x=t+1 y=t+2 z=13+4t,2,1,10
Визначити ядро та образ оператора А який є оператором диференцювання та діє в просторі Рn,2,3,30
Довести що власні вектори лінійного перетворення які відповідають різним власним значенням лінійнонезалежні,2,2,20
Довести що модуль визначника матриці ортогонального перетворення евклідова простора дорівнює одиниці.,2,2,20
Скласти рівняння площини яка проходить через пряму x=2t+1 y=2-3t z=2t-3 та точку М (2; -2; 1),2,1,10
Довести що симетричні матриці утворюють лінійний підпростір в просторі всіх матриць n-го порядку та вказати його розмірність й базис,2,3,30
Навести приклад білінійного симетричного функціоналу який визначено на просторі Rn,2,1,10
Довести що для кососиметричного перетворення унітарного простору власні вектори які відповідають різним власним значенням ортогональні,2,2,20
Знайти ортогональне доповнення до лінійного підпростору який формують многочлени степені не вище n у яких коефіцієнти при парних степенях нульові. Вказати його базис та розмірність,2,3,30
Знайти зв’язок між жордановими формами та фордановими базисами спряжених операторів,2,2,20
Дослідити чи буде лінійним підпростором множина n-вимірних векторів у яких координати з парними індексами рівні. Якщо так - вказати його розмірність та базис,2,3,30